obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3743782780.32,4,33.3525009155,3774706461.01,3774706461.03,3743782780.32,0.0,internal_timestamp,578.210021973,324719,1534793980,5.44369983673,3.33525009155,34.1259393538,1029.60175072,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('1',)",3743782781.25,4,33.3529014587,3774706461.01,3774706461.03,3743782781.25,0.0,internal_timestamp,578.190002441,251789,1534793981,5.44449996948,3.33529014587,34.1255956347,1029.60128196,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('2',)",3743782782.24,4,33.3532981873,3774706461.01,3774706461.03,3743782782.24,0.0,internal_timestamp,578.179992676,242675,1534793982,5.44519996643,3.33532981873,34.1253438737,1029.60094482,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('3',)",3743782783.24,4,33.353099823,3774706461.01,3774706461.03,3743782783.24,0.0,internal_timestamp,578.200012207,236485,1534793983,5.44449996948,3.3353099823,34.1258161976,1029.60150154,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('4',)",3743782784.24,4,33.3531990051,3774706461.01,3774706461.03,3743782784.24,0.0,internal_timestamp,578.200012207,235826,1534793984,5.44509983063,3.33531990051,34.1253224434,1029.60103302,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('5',)",3743782785.24,4,33.3558006287,3774706461.01,3774706461.03,3743782785.24,0.0,internal_timestamp,578.200012207,237368,1534793985,5.44770002365,3.33558006287,34.1256511401,1029.60094635,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('6',)",3743782786.23,4,33.3541984558,3774706461.01,3774706461.03,3743782786.23,0.0,internal_timestamp,578.190002441,228924,1534793986,5.44670009613,3.33541984558,34.1248456776,1029.60039906,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('7',)",3743782787.23,4,33.3540992737,3774706461.01,3774706461.03,3743782787.23,0.0,internal_timestamp,578.200012207,231321,1534793987,5.44640016556,3.33540992737,34.1250312077,1029.6006309,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('8',)",3743782788.24,4,33.3541984558,3774706461.01,3774706461.03,3743782788.24,0.0,internal_timestamp,578.200012207,242903,1534793988,5.44630002975,3.33541984558,34.1252452052,1029.60081273,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('9',)",3743782789.24,4,33.3541984558,3774706461.01,3774706461.03,3743782789.24,0.0,internal_timestamp,578.16998291,236310,1534793989,5.4470000267,3.33541984558,34.1245523548,1029.60003644,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('10',)",3743782790.24,4,33.3539009094,3774706461.01,3774706461.03,3743782790.24,0.0,internal_timestamp,578.219970703,238095,1534793990,5.44570016861,3.33539009094,34.1255035488,1029.60118737,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
"('11',)",3743782791.24,4,33.3538017273,3774706461.01,3774706461.03,3743782791.24,0.0,internal_timestamp,578.179992676,237299,1534793991,5.44630002975,3.33538017273,34.124804101,1029.60037359,29,29,29,29,1,0,29,13,29,13,29,29,44.36829,-124.9528
