obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('0',)",3723260703,8,3.615439892,3742914161,3742914161,3723260703,0,internal_timestamp,74.50700378,1514271903,33.04550171,1,9.942399979,1025.778207,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('1',)",3723260703,8,3.615499973,3742914161,3742914161,3723260703,0,internal_timestamp,74.52799988,1514271903,33.0461998,0,9.942299843,1025.778864,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('2',)",3723260703,8,3.615020037,3742914161,3742914161,3723260703,0,internal_timestamp,74.53199768,1514271903,33.04109955,0,9.942500114,1025.77487,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('3',)",3723260703,8,3.615439892,3742914161,3742914161,3723260703,0,internal_timestamp,74.50700378,1514271903,33.04550171,0,9.942299843,1025.778224,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('4',)",3723260703,8,3.615499973,3742914161,3742914161,3723260703,0,internal_timestamp,74.52799988,1514271903,33.04600143,0,9.942500114,1025.778676,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('5',)",3723260703,8,3.614229918,3742914161,3742914161,3723260703,0,internal_timestamp,74.55999756,1514271903,33.03300095,0,9.942500114,1025.76868,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('6',)",3723260703,8,3.61439991,3742914161,3742914161,3723260703,0,internal_timestamp,74.56500244,1514271903,33.03469849,0,9.94260025,1025.77001,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('7',)",3723260703,8,3.614979982,3742914161,3742914161,3723260703,0,internal_timestamp,74.53199768,1514271903,33.04079819,0,9.942399979,1025.774652,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('8',)",3723260703,8,3.614690065,3742914161,3742914161,3723260703,0,internal_timestamp,74.54000092,1514271903,33.03770065,0,9.942500114,1025.772255,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('9',)",3723260703,8,3.614449978,3742914161,3742914161,3723260703,0,internal_timestamp,74.5490036,1514271903,33.03530121,0,9.942500114,1025.770425,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('10',)",3723260703,8,3.614379883,3742914161,3742914161,3723260703,0,internal_timestamp,74.55999756,1514271903,33.03450012,0,9.94260025,1025.769833,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('11',)",3723260703,8,3.614470005,3742914161,3742914161,3723260703,0,internal_timestamp,74.56500244,1514271903,33.03530121,0,9.942700386,1025.770464,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('12',)",3723260703,8,3.61461997,3742914161,3742914161,3723260703,0,internal_timestamp,74.57499695,1514271903,33.03680038,0,9.942700386,1025.771679,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('13',)",3723260703,8,3.614759922,3742914161,3742914161,3723260703,0,internal_timestamp,74.58399963,1514271903,33.03820038,0,9.942799568,1025.772795,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('14',)",3723260704,8,3.614850044,3742914161,3742914161,3723260704,0,internal_timestamp,74.59400177,1514271904,33.03900146,0,9.942799568,1025.773466,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('15',)",3723260704,8,3.614900112,3742914161,3742914161,3723260704,0,internal_timestamp,74.59999847,1514271904,33.03950119,0,9.942899704,1025.773866,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('16',)",3723260704,8,3.614919901,3742914161,3742914161,3723260704,0,internal_timestamp,74.60600281,1514271904,33.03969955,0,9.942899704,1025.774048,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('17',)",3723260704,8,3.614939928,3742914161,3742914161,3723260704,0,internal_timestamp,74.62000275,1514271904,33.03990173,0,9.942899704,1025.774269,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('18',)",3723260704,8,3.614959955,3742914161,3742914161,3723260704,0,internal_timestamp,74.62999725,1514271904,33.04000092,0,9.942899704,1025.774392,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('19',)",3723260704,8,3.614969969,3742914161,3742914161,3723260704,0,internal_timestamp,74.63800049,1514271904,33.04019928,0,9.942899704,1025.774583,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('20',)",3723260704,8,3.614959955,3742914161,3742914161,3723260704,0,internal_timestamp,74.64600372,1514271904,33.0401001,0,9.942899704,1025.774542,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('21',)",3723260704,8,3.614969969,3742914161,3742914161,3723260704,0,internal_timestamp,74.66100311,1514271904,33.04019928,0,9.942899704,1025.774688,29,13,29,29,29,29,29,13,29,29,44.64102,-124.30216
"('22',)",3723260704,8,3.614959955,3742914161,3742914161,3723260704,0,internal_timestamp,74.66500092,1514271904,33.04019928,0,9.942799568,1025.774723,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('23',)",3723260704,8,3.614949942,3742914161,3742914161,3723260704,0,internal_timestamp,74.67500305,1514271904,33.0401001,0,9.942700386,1025.774708,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('24',)",3723260704,8,3.614929914,3742914161,3742914161,3723260704,0,internal_timestamp,74.68699646,1514271904,33.04000092,0,9.942700386,1025.774685,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('25',)",3723260705,8,3.614919901,3742914161,3742914161,3723260705,0,internal_timestamp,74.69100189,1514271905,33.03990173,0,9.942700386,1025.774626,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('26',)",3723260705,8,3.614900112,3742914161,3742914161,3723260705,0,internal_timestamp,74.70400238,1514271905,33.03969955,0,9.942700386,1025.774527,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('27',)",3723260705,8,3.614890099,3742914161,3742914161,3723260705,0,internal_timestamp,74.71499634,1514271905,33.03960037,0,9.942700386,1025.7745,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('28',)",3723260705,8,3.614900112,3742914161,3742914161,3723260705,0,internal_timestamp,74.72399902,1514271905,33.03960037,0,9.942700386,1025.774541,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('29',)",3723260705,8,3.614919901,3742914161,3742914161,3723260705,0,internal_timestamp,74.73100281,1514271905,33.03979874,0,9.942700386,1025.774727,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('30',)",3723260705,8,3.614939928,3742914161,3742914161,3723260705,0,internal_timestamp,74.74299622,1514271905,33.04000092,0,9.942799568,1025.774923,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('31',)",3723260705,8,3.614969969,3742914161,3742914161,3723260705,0,internal_timestamp,74.7539978,1514271905,33.04029846,0,9.942799568,1025.775205,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('32',)",3723260705,8,3.614979982,3742914161,3742914161,3723260705,0,internal_timestamp,74.76000214,1514271905,33.04040146,0,9.942799568,1025.775313,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('33',)",3723260705,8,3.614969969,3742914161,3742914161,3723260705,0,internal_timestamp,74.77200317,1514271905,33.04019928,0,9.942700386,1025.775227,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('34',)",3723260705,8,3.614939928,3742914161,3742914161,3723260705,0,internal_timestamp,74.77999878,1514271905,33.04000092,0,9.942700386,1025.775108,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('35',)",3723260705,8,3.614919901,3742914161,3742914161,3723260705,0,internal_timestamp,74.78600311,1514271905,33.03979874,0,9.942700386,1025.774978,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('36',)",3723260705,8,3.614929914,3742914161,3742914161,3723260705,0,internal_timestamp,74.79499817,1514271905,33.03990173,0,9.942700386,1025.775099,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('37',)",3723260705,8,3.614939928,3742914161,3742914161,3723260705,0,internal_timestamp,74.80400085,1514271905,33.04000092,0,9.942700386,1025.775217,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('38',)",3723260705,8,3.614939928,3742914161,3742914161,3723260705,0,internal_timestamp,74.81400299,1514271905,33.04000092,0,9.942700386,1025.775263,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('39',)",3723260705,8,3.614949942,3742914161,3742914161,3723260705,0,internal_timestamp,74.82099915,1514271905,33.0401001,0,9.942700386,1025.775372,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('40',)",3723260705,8,3.614949942,3742914161,3742914161,3723260705,0,internal_timestamp,74.82700348,1514271905,33.0401001,0,9.942700386,1025.775399,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('41',)",3723260705,8,3.614949942,3742914161,3742914161,3723260705,0,internal_timestamp,74.83699799,1514271905,33.0401001,0,9.942700386,1025.775445,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('42',)",3723260705,8,3.614959955,3742914161,3742914161,3723260705,0,internal_timestamp,74.84400177,1514271905,33.04019928,0,9.942700386,1025.775554,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
"('43',)",3723260705,8,3.614969969,3742914161,3742914161,3723260705,0,internal_timestamp,74.85299683,1514271905,33.04029846,0,9.942700386,1025.775672,29,13,29,29,29,29,29,13,29,13,44.64102,-124.30216
