obs,time,deployment,conductivity_millisiemens,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,raw_time_microseconds,raw_time_seconds,temp,dpc_ctd_seawater_conductivity,practical_salinity,density,pressure_qc_executed,pressure_qc_results,temp_qc_executed,temp_qc_results,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,density_qc_executed,density_qc_results,practical_salinity_qc_executed,practical_salinity_qc_results,lat,lon
"('0',)",3659627097.27,2,33.2658996582,3724598987.39,3724598987.92,3659627097.27,0.0,internal_timestamp,561.010009766,272737,1450638297,5.3545999527,3.32658996582,34.1260610334,1029.53473779,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('1',)",3659627108.28,2,33.2468986511,3724598987.39,3724598987.92,3659627108.28,0.0,internal_timestamp,563.549987793,278168,1450638308,5.32880020142,3.32468986511,34.1292706794,1029.5523101,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('2',)",3659627119.27,2,33.1806983948,3724598987.39,3724598987.92,3659627119.27,0.0,internal_timestamp,565.989990234,270992,1450638319,5.23929977417,3.31806983948,34.1432411061,1029.58622452,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('3',)",3659627130.27,2,33.1721992493,3724598987.39,3724598987.92,3659627130.27,0.0,internal_timestamp,568.489990234,274899,1450638330,5.22779989243,3.31721992493,34.1439518876,1029.59975913,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('4',)",3659627141.27,2,33.1683998108,3724598987.39,3724598987.92,3659627141.27,0.0,internal_timestamp,571.150024414,268404,1450638341,5.22259998322,3.31683998108,34.1435595552,1029.61233757,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('5',)",3659627152.27,2,33.1682014465,3724598987.39,3724598987.92,3659627152.27,0.0,internal_timestamp,571.849975586,272515,1450638352,5.22249984741,3.31682014465,34.1430850961,1029.61518955,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('6',)",3659627156.28,2,33.1679992676,3724598987.46,3724598987.97,3659627156.28,0.0,internal_timestamp,571.849975586,275804,1450638356,5.22289991379,3.31679992676,34.142447657,1029.61463507,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('7',)",3659630455.41,2,33.0792999268,3724598987.49,3724598988.07,3659630455.41,0.0,internal_timestamp,575.969970703,411149,1450641655,5.10640001297,3.30792999268,34.1572270018,1029.66031515,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('8',)",3659630466.4,2,33.0852012634,3724598987.49,3724598988.07,3659630466.4,0.0,internal_timestamp,575.16998291,404449,1450641666,5.11299991608,3.30852012634,34.1576795882,1029.65614553,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('9',)",3659630477.44,2,33.0942993164,3724598987.49,3724598988.07,3659630477.44,0.0,internal_timestamp,573.869995117,436624,1450641677,5.12839984894,3.30942993164,34.1530938262,1029.64456981,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('10',)",3659630488.41,2,33.1169013977,3724598987.49,3724598988.07,3659630488.41,0.0,internal_timestamp,572.619995117,413373,1450641688,5.1578001976,3.31169013977,34.1497213515,1029.63236453,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('11',)",3659630499.41,2,33.1250991821,3724598987.49,3724598988.07,3659630499.41,0.0,internal_timestamp,571.25,405776,1450641699,5.16940021515,3.31250991821,34.1480035994,1029.62321603,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('12',)",3659630510.45,2,33.1259002686,3724598987.49,3724598988.07,3659630510.45,0.0,internal_timestamp,570.010009766,445194,1450641710,5.17049980164,3.31259002686,34.1484231525,1029.61771083,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('13',)",3659630521.41,2,33.1287994385,3724598987.49,3724598988.07,3659630521.41,0.0,internal_timestamp,568.619995117,412992,1450641721,5.17500019073,3.31287994385,34.1478636259,1029.61030384,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('14',)",3659630532.42,2,33.1413002014,3724598987.49,3724598988.07,3659630532.42,0.0,internal_timestamp,566.969970703,420609,1450641732,5.19339990616,3.31413002014,34.1443015741,1029.59753197,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('15',)",3659630543.41,2,33.177898407,3724598987.49,3724598988.07,3659630543.41,0.0,internal_timestamp,565.570007324,408638,1450641743,5.24389982224,3.3177898407,34.1355806881,1029.57765998,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('16',)",3659630554.41,2,33.1870994568,3724598987.49,3724598988.07,3659630554.41,0.0,internal_timestamp,564.289978027,414063,1450641754,5.25629997253,3.31870994568,34.1341509771,1029.56904026,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('17',)",3659630565.44,2,33.1944007874,3724598987.49,3724598988.07,3659630565.44,0.0,internal_timestamp,562.940002441,439097,1450641765,5.26609992981,3.31944007874,34.1332232415,1029.56083355,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('18',)",3659630576.42,2,33.2467002869,3724598987.49,3724598988.07,3659630576.42,0.0,internal_timestamp,561.690002441,420737,1450641776,5.33760023117,3.32467002869,34.1210543734,1029.53614693,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('19',)",3659630587.42,2,33.2743988037,3724598987.49,3724598988.07,3659630587.42,0.0,internal_timestamp,560.479980469,417560,1450641787,5.37389993668,3.32743988037,34.1164674038,1029.52220891,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('20',)",3659630598.43,2,33.2808990479,3724598987.49,3724598988.07,3659630598.43,0.0,internal_timestamp,559.130004883,429352,1450641798,5.38119983673,3.32808990479,34.1171536154,1029.51559478,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('21',)",3659630609.41,2,33.2924003601,3724598987.49,3724598988.07,3659630609.41,0.0,internal_timestamp,557.679992676,411962,1450641809,5.3968000412,3.32924003601,34.1151838284,1029.50533517,29,29,29,29,1,0,29,29,29,29,29,29,44.36829,-124.9528
"('22',)",3659630620.43,2,33.3185005188,3724598987.49,3724598988.07,3659630620.43,0.0,internal_timestamp,556.320007324,427301,1450641820,5.43079996109,3.33185005188,34.1111704737,1029.49144704,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('23',)",3659630631.42,2,33.3353004456,3724598987.49,3724598988.07,3659630631.42,0.0,internal_timestamp,554.960021973,415256,1450641831,5.45340013504,3.33353004456,34.1081023571,1029.47980305,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('24',)",3659630642.42,2,33.3405990601,3724598987.49,3724598988.07,3659630642.42,0.0,internal_timestamp,553.760009766,419640,1450641842,5.45989990234,3.33405990601,34.1081516284,1029.47347731,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('25',)",3659630653.45,2,33.3452987671,3724598987.49,3724598988.07,3659630653.45,0.0,internal_timestamp,552.559997559,448679,1450641853,5.46610021591,3.33452987671,34.1078224647,1029.46689293,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('26',)",3659630663.42,2,33.3506011963,3724598987.49,3724598988.07,3659630663.42,0.0,internal_timestamp,551.320007324,420464,1450641863,5.47340011597,3.33506011963,34.1070867447,1029.45965908,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('27',)",3659630675.42,2,33.3562011719,3724598987.49,3724598988.07,3659630675.42,0.0,internal_timestamp,549.950012207,422977,1450641875,5.48129987717,3.33562011719,34.1061472843,1029.45158868,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('28',)",3659630686.42,2,33.3656997681,3724598987.49,3724598988.07,3659630686.42,0.0,internal_timestamp,548.809997559,422921,1450641886,5.49429988861,3.33656997681,34.1043701495,1029.44323643,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('29',)",3659630696.45,2,33.3750991821,3724598987.49,3724598988.07,3659630696.45,0.0,internal_timestamp,547.820007324,454479,1450641896,5.50769996643,3.33750991821,34.1020017188,1029.43505221,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('30',)",3659630708.43,2,33.3811988831,3724598987.49,3724598988.07,3659630708.43,0.0,internal_timestamp,546.700012207,426944,1450641908,5.51569986343,3.33811988831,34.1014038573,1029.42838242,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('31',)",3659630719.42,2,33.3838996887,3724598987.49,3724598988.07,3659630719.42,0.0,internal_timestamp,545.450012207,420613,1450641919,5.51940011978,3.33838996887,34.1013529128,1029.42211813,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
"('32',)",3659630730.43,2,33.3838996887,3724598987.49,3724598988.07,3659630730.43,0.0,internal_timestamp,544.33001709,434458,1450641930,5.51919984818,3.33838996887,34.1021098375,1029.41760441,29,29,29,29,1,0,29,13,29,29,29,29,44.36829,-124.9528
